Title,Authors,Abstract,PDF URL,Publication date,TF-IDF given Paper-wise Abstract,TF-IDF given Paper-wise Full Text,TF-IDF given the whole Title,TF-IDF given the whole Abstract
Synthesized Policies for Transfer and Adaptation across Tasks and Environments,"Hexiang Hu, Liyu Chen, Boqing Gong, Fei Sha","The ability to transfer in reinforcement learning is key towards building an agent of general artificial intelligence. In this paper, we consider the problem of learning to simultaneously transfer across both environments and tasks, probably more importantly, by learning from only sparse (environment, task) pairs out of all the possible combinations. We propose a novel compositional neural network architecture which depicts a meta rule for composing policies from  environment and task embeddings. Notably, one of the main challenges is to learn the embeddings jointly with the meta rule. We further propose new training methods to disentangle the embeddings, making them both distinctive signatures of the environments and tasks and effective building blocks for composing the policies. Experiments on GridWorld and THOR, of which the agent takes as input an egocentric view, show that our approach gives rise to high success rates on all the (environment, task) pairs after learning from only 40% of them.",https://proceedings.neurips.cc/paper_files/paper/2018/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf,2018,"learning, embeddings, environment, task, agent, building, composing, environments, meta, pairs","00, 10, 20, 30, 90, 40, latexit, 50, learning, 80","{'synthesized': 0.4352884193305339, 'tasks': 0.4352884193305339, 'across': 0.3935254598994455, 'environments': 0.3690956947131198, 'policies': 0.34466592952679415, 'adaptation': 0.3273327352820314, 'transfer': 0.3225100649357076}","embeddings, composing, environment, meta, rule, building, pairs, task, environments, transfer"
Self-Supervised Generation of Spatial Audio for 360° Video,"Pedro Morgado, Nuno Nvasconcelos, Timothy Langlois, Oliver Wang","We introduce an approach to convert mono audio recorded by a 360° video camera into spatial audio, a representation of the distribution of sound over the full viewing sphere. Spatial audio is an important component of immersive 360° video viewing, but spatial audio microphones are still rare in current 360° video production. Our system consists of end-to-end trainable neural networks that separate individual sound sources and localize them on the viewing sphere, conditioned on multi-modal analysis from the audio and 360° video frames. We introduce several datasets, including one filmed ourselves, and one collected in-the-wild from YouTube, consisting of 360° videos uploaded with spatial audio. During training, ground truth spatial audio serves as self-supervision and a mixed down mono track forms the input to our network. Using our approach we show that it is possible to infer the spatial localization of sounds based only on a synchronized 360° video and the mono audio track.",https://proceedings.neurips.cc/paper_files/paper/2018/file/01161aaa0b6d1345dd8fe4e481144d84-Paper.pdf,2018,"audio, 360, spatial, video, mono, viewing, approach, end, introduce, one","audio, spatial, video, 360, videos, mono, sound, sources, using, ambisonics","{'360': 0.4440407615399971, 'spatial': 0.4191197871794499, 'audio': 0.4014380744791615, 'self': 0.3670425853877161, 'video': 0.358835387418326, 'supervised': 0.3201994111752015, 'generation': 0.3162327003574904}","audio, 360, spatial, video, mono, viewing, sphere, track, sound, end"
On GANs and GMMs,"Eitan Richardson, Yair Weiss","A longstanding problem in machine learning is to find unsupervised methods that can learn the statistical structure of high dimensional signals. In recent years, GANs have gained much attention as a possible solution to the problem, and in particular have shown the ability to generate remarkably realistic high resolution sampled images. At the same time, many authors have pointed out that GANs may fail to model the full distribution (""mode collapse"") and that using the learned models for anything other than generating samples may be very difficult.In this paper, we examine the utility of GANs in learning statistical models of images by comparing them to perhaps the simplest statistical model, the Gaussian Mixture Model. First, we present a simple method to evaluate generative models based on relative proportions of samples that fall into predetermined bins. Unlike previous automatic methods for evaluating models, our method does not rely on an additional neural network nor does it require approximating intractable computations. Second, we compare the performance of GANs to GMMs trained on the same datasets. While GMMs have previously been shown to be successful in modeling small patches of images, we show how to train them on full sized images despite the high dimensionality. Our results show that GMMs can generate realistic samples (although less sharp than those of GANs) but also capture the full distribution, which GANs fail to do. Furthermore, GMMs allow efficient inference and explicit representation of the underlying statistical structure. Finally, we discuss how GMMs can be used to generate sharp images.",https://proceedings.neurips.cc/paper_files/paper/2018/file/0172d289da48c48de8c5ebf3de9f7ee1-Paper.pdf,2018,"gans, gmms, images, models, statistical, full, generate, high, model, samples","samples, model, images, gans, image, training, mfa, models, log, data","{'gmms': 0.7777809774829885, 'gans': 0.6285354016009019}","gmms, gans, images, statistical, full, generate, sharp, samples, fail, realistic"
Batch-Instance Normalization for Adaptively Style-Invariant Neural Networks,"Hyeonseob Nam, Hyo-Eun Kim","Real-world image recognition is often challenged by the variability of visual styles including object textures, lighting conditions, filter effects, etc. Although these variations have been deemed to be implicitly handled by more training data and deeper networks, recent advances in image style transfer suggest that it is also possible to explicitly manipulate the style information. Extending this idea to general visual recognition problems, we present Batch-Instance Normalization (BIN) to explicitly normalize unnecessary styles from images. Considering certain style features play an essential role in discriminative tasks, BIN learns to selectively normalize only disturbing styles while preserving useful styles. The proposed normalization module is easily incorporated into existing network architectures such as Residual Networks, and surprisingly improves the recognition performance in various scenarios. Furthermore, experiments verify that BIN effectively adapts to completely different tasks like object classification and style transfer, by controlling the trade-off between preserving and removing style variations. BIN can be implemented with only a few lines of code using popular deep learning frameworks.",https://proceedings.neurips.cc/paper_files/paper/2018/file/018b59ce1fd616d874afad0f44ba338d-Paper.pdf,2018,"style, bin, styles, recognition, explicitly, image, networks, normalization, normalize, object","style, bn, bin, normalization, image, domain, network, styles, 10, classiﬁcation","{'adaptively': 0.4229250620076958, 'instance': 0.40508281339782537, 'style': 0.40508281339782537, 'normalization': 0.37993557638080055, 'batch': 0.37037504058022686, 'invariant': 0.3620933277709302, 'neural': 0.2006726454660652, 'networks': 0.20010102190144058}","bin, style, styles, variations, normalize, recognition, normalization, preserving, explicitly, transfer"
Hierarchical Reinforcement Learning for Zero-shot Generalization with Subtask Dependencies,"Sungryull Sohn, Junhyuk Oh, Honglak Lee","We introduce a new RL problem where the agent is required to generalize to a previously-unseen environment characterized by a subtask graph which describes a set of subtasks and their dependencies. Unlike existing hierarchical multitask RL approaches that explicitly describe what the agent should do at a high level, our problem only describes properties of subtasks and relationships among them, which requires the agent to perform complex reasoning to find the optimal subtask to execute. To solve this problem, we propose a neural subtask graph solver (NSGS) which encodes the subtask graph using a recursive neural network embedding. To overcome the difficulty of training, we propose a novel non-parametric gradient-based policy, graph reward propagation, to pre-train our NSGS agent and further finetune it through actor-critic method. The experimental results on two 2D visual domains show that our agent can perform complex reasoning to find a near-optimal way of executing the subtask graph and generalize well to the unseen subtask graphs. In addition, we compare our agent with a Monte-Carlo tree search (MCTS) method showing that our method is much more efficient than MCTS, and the performance of NSGS can be further improved by combining it with MCTS.",https://proceedings.neurips.cc/paper_files/paper/2018/file/018dd1e07a2de4a08e6612341bf2323e-Paper.pdf,2018,"agent, subtask, graph, mcts, method, nsgs, problem, complex, describes, find","subtask, reward, agent, graph, nsgs, policy, subtasks, task, grprop, mcts","{'subtask': 0.458076653505868, 'dependencies': 0.4323679404192729, 'hierarchical': 0.3701779828905693, 'zero': 0.3701779828905693, 'shot': 0.34446926980397413, 'generalization': 0.33939412285519105, 'reinforcement': 0.2697360744609465, 'learning': 0.15018411115384636}","subtask, agent, nsgs, mcts, graph, subtasks, describes, unseen, reasoning, rl"
KDGAN: Knowledge Distillation with Generative Adversarial Networks,"Xiaojie Wang, Rui Zhang, Yu Sun, Jianzhong Qi","Knowledge distillation (KD) aims to train a lightweight classifier suitable to provide accurate inference with constrained resources in multi-label learning. Instead of directly consuming feature-label pairs, the classifier is trained by a teacher, i.e., a high-capacity model whose training may be resource-hungry. The accuracy of the classifier trained this way is usually suboptimal because it is difficult to learn the true data distribution from the teacher. An alternative method is to adversarially train the classifier against a discriminator in a two-player game akin to generative adversarial networks (GAN), which can ensure the classifier to learn the true data distribution at the equilibrium of this game. However, it may take excessively long time for such a two-player game to reach equilibrium due to high-variance gradient updates. To address these limitations, we propose a three-player game named KDGAN consisting of a classifier, a teacher, and a discriminator. The classifier and the teacher learn from each other via distillation losses and are adversarially trained against the discriminator via adversarial losses. By simultaneously optimizing the distillation and adversarial losses, the classifier will learn the true data distribution at the equilibrium. We approximate the discrete distribution learned by the classifier (or the teacher) with a concrete distribution. From the concrete distribution, we generate continuous samples to obtain low-variance gradient updates, which speed up the training. Extensive experiments using real datasets confirm the superiority of KDGAN in both accuracy and training speed.",https://proceedings.neurips.cc/paper_files/paper/2018/file/019d385eb67632a7e958e23f24bd07d7-Paper.pdf,2018,"classifier, distribution, teacher, game, learn, adversarial, data, discriminator, distillation, equilibrium","training, kdgan, classiﬁer, pϱ, teacher, distribution, nagan, labels, discriminator, data","{'kdgan': 0.5530876597508713, 'distillation': 0.5000226654385105, 'knowledge': 0.4041153867791066, 'generative': 0.3408276825014283, 'adversarial': 0.3218541874099965, 'networks': 0.2469989913639353}","classifier, teacher, game, distribution, distillation, player, discriminator, equilibrium, losses, kdgan"
Contour location via entropy reduction leveraging multiple information sources,"Alexandre Marques, Remi Lam, Karen Willcox","We introduce an algorithm to locate contours of functions that are expensive to evaluate. The problem of locating contours arises in many applications, including classification, constrained optimization, and  performance analysis of mechanical and dynamical systems (reliability, probability of failure, stability, etc.). Our algorithm locates contours using information from multiple sources, which are available in the form of relatively inexpensive, biased, and possibly noisy
 approximations to the original function. Considering multiple information sources can lead to significant cost savings. We also introduce the concept of contour entropy, a formal measure of uncertainty about the location of the zero contour of a function approximated by a statistical surrogate model. Our algorithm locates contours efficiently by maximizing the reduction of contour entropy per unit cost.",https://proceedings.neurips.cc/paper_files/paper/2018/file/01a0683665f38d8e5e567b3b15ca98bf-Paper.pdf,2018,"contours, algorithm, contour, cost, entropy, function, information, introduce, locates, multiple","contour, clover, information, entropy, surrogate, evaluations, function, zero, model, sources","{'contour': 0.39922426950214557, 'location': 0.39922426950214557, 'leveraging': 0.3768185386636829, 'sources': 0.3768185386636829, 'entropy': 0.30502102947418375, 'reduction': 0.30502102947418375, 'multiple': 0.30021283894501605, 'information': 0.27780710810655335, 'via': 0.2094644320517334}","contours, contour, locates, sources, entropy, inexpensive, locating, cost, locate, mechanical"
Contextual bandits with surrogate losses: Margin bounds and efficient algorithms,"Dylan J. Foster, Akshay Krishnamurthy","We use surrogate losses to obtain several new regret bounds and new algorithms for contextual bandit learning. Using the ramp loss, we derive a new margin-based regret bound in terms of standard sequential complexity measures of a benchmark class of real-valued regression functions. Using the hinge loss, we derive an efficient algorithm with a $\sqrt{dT}$-type mistake bound against benchmark policies induced by $d$-dimensional regressors. Under realizability assumptions, our results also yield classical regret bounds.",https://proceedings.neurips.cc/paper_files/paper/2018/file/01e9565cecc4e989123f9620c1d09c09-Paper.pdf,2018,"new, regret, benchmark, bound, bounds, derive, loss, using, algorithm, algorithms","loss, regret, hinge, bound, algorithm, contextual, class, bandit, margin, information","{'surrogate': 0.45281277553150634, 'losses': 0.39538253207019797, 'margin': 0.3839551858899033, 'contextual': 0.35854189831240135, 'bandits': 0.3459644853854263, 'bounds': 0.2997340855709903, 'algorithms': 0.2945079865447885, 'efficient': 0.2576673527869918}","regret, benchmark, derive, dt, hinge, mistake, ramp, realizability, new, bounds"
Adaptive Sampling Towards Fast Graph Representation Learning,"Wenbing Huang, Tong Zhang, Yu Rong, Junzhou Huang","Graph Convolutional Networks (GCNs) have become a crucial tool on learning representations of graph vertices. The main challenge of adapting GCNs on large-scale graphs is the scalability issue that it incurs heavy cost both in computation and memory due to the uncontrollable neighborhood expansion across layers. In this paper, we accelerate the training of GCNs through developing an adaptive layer-wise sampling method. By constructing the network layer by layer in a top-down passway, we sample the lower layer conditioned on the top one, where the sampled neighborhoods are shared by different parent nodes and the over expansion is avoided owing to the fixed-size sampling. More importantly, the proposed sampler is adaptive and applicable for explicit variance reduction, which in turn enhances the training of our method. Furthermore, we propose a novel and economical approach to promote the message passing over distant nodes by applying skip connections.
Intensive experiments on several benchmarks verify the effectiveness of our method regarding the classification accuracy while enjoying faster convergence speed.",https://proceedings.neurips.cc/paper_files/paper/2018/file/01eee509ee2f68dc6014898c309e86bf-Paper.pdf,2018,"layer, gcns, method, adaptive, expansion, graph, nodes, sampling, top, training","layer, sampling, vi, uj, wise, nodes, node, eq, method, skip","{'towards': 0.4346197084931717, 'representation': 0.4081968746958501, 'adaptive': 0.40380685975035313, 'sampling': 0.3882940346948355, 'fast': 0.3848383856160873, 'graph': 0.38152382344998176, 'learning': 0.19232205337226999}","gcns, layer, expansion, top, nodes, adaptive, graph, distant, economical, passway"
Analytic solution and stationary phase approximation for the Bayesian lasso and elastic net,Tom Michoel,"The lasso and elastic net linear regression models impose a double-exponential prior distribution on the model parameters to achieve   regression shrinkage and variable selection,  allowing the inference of robust models from large data sets.  However, there has been limited success in deriving estimates for the full posterior distribution of regression coefficients in these models, due to a need to evaluate analytically intractable partition function integrals. Here, the Fourier transform is used to express these integrals as complex-valued oscillatory integrals over ""regression frequencies"". This results in an analytic expansion and stationary phase approximation for the partition functions of the Bayesian lasso and elastic net, where the non-differentiability of the double-exponential prior has so far eluded such an approach. Use of this approximation leads to highly accurate numerical estimates for the expectation values and marginal posterior distributions of the regression coefficients, and allows for Bayesian inference of much higher dimensional models than previously possible.",https://proceedings.neurips.cc/paper_files/paper/2018/file/0245952ecff55018e2a459517fdb40e3-Paper.pdf,2018,"regression, models, integrals, approximation, bayesian, coefficients, distribution, double, elastic, estimates","regression, approximation, function, likelihood, maximum, elastic, net, posterior, bayesian, coefﬁcients","{'analytic': 0.385739390738824, 'elastic': 0.385739390738824, 'lasso': 0.36409047401974615, 'solution': 0.348730323162033, 'phase': 0.336816064543479, 'stationary': 0.336816064543479, 'net': 0.31172125558524205, 'approximation': 0.274712188008451, 'bayesian': 0.22069998461059778}","integrals, regression, elastic, lasso, double, partition, net, coefficients, models, exponential"
